type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2018-10-24 07:55:57,53.56766107,9.97425363,5,84.000,,0.188,248,16,19,20181024-095557,GPS Logger: 20181024-095557
T,2018-10-24 07:55:58,53.56765993,9.97427342,5,84.800,,0.875,180,15,19,,
T,2018-10-24 07:55:59,53.56765247,9.97429077,5,84.900,,1.250,150,15,20,,
T,2018-10-24 07:56:00,53.56763911,9.97431139,5,84.800,,1.688,136,15,20,,
T,2018-10-24 07:56:01,53.56762243,9.97433376,5,84.100,,2.062,129,15,20,,
T,2018-10-24 07:56:02,53.56760218,9.97435925,5,83.400,,2.500,127,16,20,,
T,2018-10-24 07:56:03,53.56757968,9.97438179,5,83.200,,2.625,131,15,19,,
T,2018-10-24 07:56:04,53.56755700,9.97440258,5,83.000,,2.688,136,15,18,,
T,2018-10-24 07:56:05,53.56753282,9.97442639,5,82.800,,2.875,138,16,19,,
T,2018-10-24 07:56:06,53.56750533,9.97445304,5,82.700,,3.188,140,15,18,,
T,2018-10-24 07:56:07,53.56747302,9.97448045,5,82.600,,3.562,142,15,18,,
T,2018-10-24 07:56:08,53.56744423,9.97451046,5,82.600,,3.500,143,15,19,,
T,2018-10-24 07:56:09,53.56740856,9.97454197,5,82.500,,3.875,146,15,19,,
T,2018-10-24 07:56:10,53.56736414,9.97457676,5,82.200,,4.500,150,16,19,,
T,2018-10-24 07:56:11,53.56731971,9.97461624,5,81.800,,4.875,151,14,19,,
T,2018-10-24 07:56:12,53.56727889,9.97466820,5,81.200,,5.062,144,16,19,,
T,2018-10-24 07:56:13,53.56722776,9.97472671,5,80.100,,5.812,142,16,19,,
T,2018-10-24 07:56:14,53.56717529,9.97479460,5,79.100,,6.562,141,16,19,,
T,2018-10-24 07:56:15,53.56712014,9.97486484,5,78.400,,7.000,140,16,19,,
T,2018-10-24 07:56:16,53.56706494,9.97493441,5,77.500,,7.062,141,16,20,,
T,2018-10-24 07:56:17,53.56701558,9.97499946,5,77.000,,6.688,140,16,20,,
T,2018-10-24 07:56:18,53.56696709,9.97506257,5,76.500,,6.438,141,16,20,,
